"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2016-04-26","09:00:19","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:19","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:19","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:19","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:19","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:18","Frankfurt","10.165.155.90","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:12","Nashville 7301 User 4","10.164.41.143","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:12","Nashville 7301 User 4","10.164.41.143","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:12","Nashville 7301 User 4","10.164.41.143","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:11","Palo Alto/ISA subnet ","10.164.63.204","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","09:00:02","Barbara","10.164.117.67","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:26","Nashville 7301 User 4","10.164.41.179","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:22","Frankfurt","10.165.155.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:14","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:07","Nashville 7300 Firewall Admin Lan","10.164.10.154","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:07","Nashville 7300 Firewall Admin Lan","10.164.10.154","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:07","Nashville 7300 Firewall Admin Lan","10.164.10.154","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:59:02","Savannah 6th Floor A Users","10.167.6.32","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:44","Savannah","10.165.3.40","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:37","Barbara","10.164.117.67","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:37","Nashville 7301 User 1","10.164.38.97","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:36","Savannah","10.165.3.40","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:35","Nashville","10.165.124.43","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:20","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:20","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:20","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:18","Nashville 7300 User 7","10.164.21.47","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:14","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:14","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:14","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:12","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:58:12","Proxy13","10.164.50.177","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:57:59","Nashville 7300 User 6","10.164.20.39","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:57:58","Savannah 7th Floor B Users","10.167.17.187","198.203.191.14","Blocked","c9msvr1.com","Botnet"
"2016-04-26","08:57:58","Savannah 6th Floor A Users","10.167.6.32","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:57:57","Nashville 7300 Firewall Admin Lan","10.164.10.154","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:57:56","Nashville 7301 User 2","10.164.39.9","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","08:57:49","Savannah 7th Floor B Users","10.167.17.91","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
